GENER01  1.00e+25  1.00e-06                                0.00  
VERTICES
 fv
 fu
 fe
 ev0 4                    
 fg
 fw
 fv
 ff
 ew0 4                    
 fh
 fx
 fw
 fg
 fg0 4                    
 fr
 gh
 gg
 fq
 fh0 4                    
 fs
 gi
 gh
 fr
 fi0 4                    
 ft
 gj
 gi
 fs
 fj0 4                    
 fv
 gl
 gk
 fu
 fk0 4                    
 fw
 gm
 gl
 fv
 fl0 4                    
 fx
 gn
 gm
 fw
 fm0 4                    
 fy
 go
 gn
 fx
 fu0 4                    
 gg
 gw
 gv
 gf
 fv0 4                    
 gh
 gx
 gw
 gg
 fw0 4                    
 gi
 gy
 gx
 gh
 fx0 4                    
 gj
 gz
 gy
 gi
 fy0 4                    
 gl
 hb
 ha
 gk
 fz0 4                    
 gm
 hc
 hb
 gl
 ga0 4                    
 gn
 hd
 hc
 gm
 gb0 4                    
 go
 he
 hd
 gn
 gc0 4                    
 gp
 hf
 he
 go
 gd0 4                    
 gq
 hg
 hf
 gp
 ge0 4                    
 gr
 hh
 hg
 gq
 gf0 4                    
 gs
 hi
 hh
 gr
 gg0 4                    
 gt
 hj
 hi
 gs
 gh0 4                    
 gu
 hk
 hj
 gt
 gi0 4                    
 gv
 hl
 hk
 gu
 gj0 4                    
 gw
 hm
 hl
 gv
 gk0 4                    
 gx
 hn
 hm
 gw
 gl0 4                    
 gy
 ho
 hn
 gx
 gm0 4                    
 gz
 hp
 ho
 gy
 gn0 4                    
 hb
 hr
 hq
 ha
 go0 4                    
 hc
 hs
 hr
 hb
 gp0 4                    
 hd
 ht
 hs
 hc
 gq0 4                    
 he
 hu
 ht
 hd
 gr0 4                    
 hf
 hv
 hu
 he
 gs0 4                    
 hg
 hw
 hv
 hf
 gt0 4                    
 hh
 hx
 hw
 hg
 gu0 4                    
 hi
 hy
 hx
 hh
 gv0 4                    
 hj
 hz
 hy
 hi
 gw0 4                    
 hk
 ia
 hz
 hj
 gx0 4                    
 hl
 ib
 ia
 hk
 gy0 4                    
 hm
 ic
 ib
 hl
 gz0 4                    
 hn
 id
 ic
 hm
 ha0 4                    
 ho
 ie
 id
 hn
 hb0 4                    
 hp
 if
 ie
 ho
 hc0 4                    
 hr
 ih
 ig
 hq
 hd0 4                    
 hs
 ii
 ih
 hr
 he0 4                    
 ht
 ij
 ii
 hs
 hf0 4                    
 hu
 ik
 ij
 ht
 hg0 4                    
 hv
 il
 ik
 hu
 hh0 4                    
 hw
 im
 il
 hv
 hi0 4                    
 hx
 in
 im
 hw
 hj0 4                    
 hy
 io
 in
 hx
 hk0 4                    
 hz
 ip
 io
 hy
 hl0 4                    
 ia
 iq
 ip
 hz
 hm0 4                    
 ib
 ir
 iq
 ia
 hn0 4                    
 ic
 is
 ir
 ib
 ho0 4                    
 id
 it
 is
 ic
 hp0 4                    
 ie
 iu
 it
 id
 hq0 4                    
 if
 iv
 iu
 ie
 hr0 4                    
 dc
 lw
 ne
 jq
 hs0 4                    
 lw
 ds
 jx
 ne
 ht0 4                    
 jx
 dr
 lo
 ne
 hu0 4                    
 lo
 db
 jq
 ne
 hv0 3                    
 cg
 km
 cf
 hw0 3                    
 km
 cw
 cv
 hx0 3                    
 km
 cv
 cf
 hy0 4                    
 ew
 jn
 nf
 lx
 hz0 4                    
 jn
 fm
 me
 nf
 ia0 4                    
 me
 fl
 jg
 nf
 ib0 4                    
 jg
 ev
 lx
 nf
 ic0 4                    
 ch
 kv
 ng
 lk
 id0 4                    
 kv
 cx
 mn
 ng
 ie0 4                    
 mn
 cw
 km
 ng
 if0 4                    
 km
 cg
 lk
 ng
 ig0 4                    
 dd
 mc
 nh
 je
 ih0 4                    
 mc
 dt
 jk
 nh
 ii0 4                    
 jk
 ds
 lw
 nh
 ij0 4                    
 lw
 dc
 je
 nh
 ik0 4                    
 ex
 ju
 ni
 li
 il0 4                    
 ju
 fn
 lr
 ni
 im0 4                    
 lr
 fm
 jn
 ni
 in0 4                    
 jn
 ew
 li
 ni
 io0 4                    
 ci
 ld
 nj
 ku
 ip0 4                    
 ld
 cy
 lz
 nj
 iq0 4                    
 lz
 cx
 kv
 nj
 ir0 4                    
 kv
 ch
 ku
 nj
 is0 3                    
 dt
 mc
 du
 it0 3                    
 mc
 dd
 de
 iu0 3                    
 mc
 de
 du
 iv0 4                    
 ey
 kd
 nk
 kp
 iw0 4                    
 kd
 fo
 lb
 nk
 ix0 4                    
 lb
 fn
 ju
 nk
 iy0 4                    
 ju
 ex
 kp
 nk
 iz0 3                    
 ec
 iy
 eb
 ja0 3                    
 iy
 es
 er
 jb0 3                    
 iy
 er
 eb
 jc0 4                    
 cj
 lm
 nl
 ke
 jd0 4                    
 lm
 cz
 ln
 nl
 je0 4                    
 ln
 cy
 ld
 nl
 jf0 4                    
 ld
 ci
 ke
 nl
 jg0 4                    
 ez
 kl
 nm
 kc
 jh0 4                    
 kl
 fp
 kk
 nm
 ji0 4                    
 kk
 fo
 kd
 nm
 jj0 4                    
 kd
 ey
 kc
 nm
 jk0 4                    
 ed
 jf
 nn
 na
 jl0 4                    
 jf
 et
 iw
 nn
 jm0 4                    
 iw
 es
 iy
 nn
 jn0 4                    
 iy
 ec
 na
 nn
 jo0 4                    
 ck
 lu
 no
 jp
 jp0 4                    
 lu
 da
 ky
 no
 jq0 4                    
 ky
 cz
 lm
 no
 jr0 4                    
 lm
 cj
 jp
 no
 js0 3                    
 fp
 kl
 fq
 jt0 3                    
 kl
 ez
 fa
 ju0 3                    
 kl
 fa
 fq
 jv0 4                    
 ee
 jm
 np
 mo
 jw0 4                    
 jm
 eu
 mv
 np
 jx0 4                    
 mv
 et
 jf
 np
 jy0 4                    
 jf
 ed
 mo
 np
 jz0 4                    
 cl
 mb
 nq
 jd
 ka0 4                    
 mb
 db
 kf
 nq
 kb0 4                    
 kf
 da
 lu
 nq
 kc0 4                    
 lu
 ck
 jd
 nq
 kd0 4                    
 ef
 jt
 nr
 md
 ke0 4                    
 jt
 ev
 mj
 nr
 kf0 4                    
 mj
 eu
 jm
 nr
 kg0 4                    
 jm
 ee
 md
 nr
 kh0 4                    
 cm
 mi
 ns
 mm
 ki0 4                    
 mi
 dc
 jq
 ns
 kj0 4                    
 jq
 db
 mb
 ns
 kk0 4                    
 mb
 cl
 mm
 ns
 kl0 3                    
 fy
 ji
 go
 km0 3                    
 ji
 fz
 gp
 kn0 3                    
 ji
 gp
 go
 ko0 3                    
 bq
 lc
 bp
 kp0 3                    
 lc
 cg
 cf
 kq0 3                    
 lc
 cf
 bp
 kr0 4                    
 eg
 kb
 nt
 lp
 ks0 4                    
 kb
 ew
 lx
 nt
 kt0 4                    
 lx
 ev
 jt
 nt
 ku0 4                    
 jt
 ef
 lp
 nt
 kv0 4                    
 cn
 mr
 nu
 mq
 kw0 4                    
 mr
 dd
 je
 nu
 kx0 4                    
 je
 dc
 mi
 nu
 ky0 4                    
 mi
 cm
 mq
 nu
 kz0 3                    
 fz
 ix
 gp
 la0 3                    
 ix
 ga
 gq
 lb0 3                    
 ix
 gq
 gp
 lc0 4                    
 br
 ll
 nv
 mg
 ld0 4                    
 ll
 ch
 lk
 nv
 le0 4                    
 lk
 cg
 lc
 nv
 lf0 4                    
 lc
 bq
 mg
 nv
 lg0 4                    
 eh
 kj
 nw
 kx
 lh0 4                    
 kj
 ex
 li
 nw
 li0 4                    
 li
 ew
 kb
 nw
 lj0 4                    
 kb
 eg
 kx
 nw
 lk0 3                    
 dd
 mr
 de
 ll0 3                    
 mr
 cn
 co
 lm0 3                    
 mr
 co
 de
 ln0 3                    
 ga
 mx
 gq
 lo0 3                    
 mx
 gb
 gr
 lp0 3                    
 mx
 gr
 gq
 lq0 4                    
 bs
 ls
 nx
 lt
 lr0 4                    
 ls
 ci
 ku
 nx
 ls0 4                    
 ku
 ch
 ll
 nx
 lt0 4                    
 ll
 br
 lt
 nx
 lu0 4                    
 ei
 ks
 ny
 kh
 lv0 4                    
 ks
 ey
 kp
 ny
 lw0 4                    
 kp
 ex
 kj
 ny
 lx0 4                    
 kj
 eh
 kh
 ny
 ly0 3                    
 dm
 jl
 dl
 lz0 3                    
 jl
 ec
 eb
 ma0 3                    
 jl
 eb
 dl
 mb0 3                    
 gb
 ml
 gr
 mc0 3                    
 ml
 gc
 gs
 md0 3                    
 ml
 gs
 gr
 me0 4                    
 bt
 ma
 nz
 lg
 mf0 4                    
 ma
 cj
 ke
 nz
 mg0 4                    
 ke
 ci
 ls
 nz
 mh0 4                    
 ls
 bs
 lg
 nz
 mi0 4                    
 ej
 la
 oa
 js
